project,amount,billDate,type
AE Testing,-59535.0,2020-10-01,01-Vendor
AE Testing,-36120.0,2020-12-01,01-Vendor
AE Testing,-27930.0,2021-01-01,01-Vendor
AE Testing,-27930.0,2021-02-01,01-Vendor
AE Testing,-27930.0,2021-03-01,01-Vendor
AE Testing,-10080.0,2021-04-01,01-Vendor
AE Testing,-5530.0,2021-03-01,01-Vendor
AE Testing,-2103.5,2021-02-01,01-Vendor
AUDI_PPE&CADA&CAPA,-74708.4575,2021-10-01,02-RBEI
AUDI_PPE&CADA&CAPA,-74708.4575,2021-11-01,02-RBEI
AUDI_PPE&CADA&CAPA,-74708.4575,2021-12-01,02-RBEI
AUDI_PPE&CADA&CAPA,-44982.32400000003,2021-08-01,02-RBEI
AUDI_PPE&CADA&CAPA,-38009.212500000016,2021-09-01,02-RBEI
AUDI_PPE&CADA&CAPA,-37465.10100000001,2021-06-01,02-RBEI
AUDI_PPE&CADA&CAPA,-30628.612500000003,2021-07-01,02-RBEI
AUDI_PPE&CADA&CAPA,-21995.913999999997,2021-05-01,02-RBEI
AUDI_PPE&CADA&CAPA,-6974.0,2021-07-01,01-Vendor
AUDI_PPE&CADA&CAPA,3725000.0,2021-11-30,03-Revenue
AUDI_PPE&CADA&CAPA,3725000.0,2021-12-30,03-Revenue
BJEV,-350000.0,2021-05-01,01-Vendor
BJEV,-250000.0,2020-10-01,01-Vendor
BJEV,-200000.0,2020-12-01,01-Vendor
BJEV,-30451.089000000007,2021-02-01,02-RBEI
BJEV,-30189.037,2021-03-01,02-RBEI
BJEV,-29012.423000000006,2021-01-01,02-RBEI
BJEV,-25552.323999999997,2021-04-01,02-RBEI
BJEV,-21995.913999999997,2021-05-01,02-RBEI
BJEV,-12488.367000000002,2021-06-01,02-RBEI
BJEV,-12.0,2021-12-12,01-Vendor
BJEV,147556.40000000002,2021-09-15,03-Revenue
BJEV,221334.59999999998,2020-12-15,03-Revenue
BJEV,1106673.0,2021-05-15,03-Revenue
BYD,-52068.75,2020-07-01,01-Vendor
BYD,-48375.0,2019-09-01,01-Vendor
BYD,-47280.0,2020-08-01,01-Vendor
BYD,-47276.6,2019-12-01,01-Vendor
BYD,-46186.125,2019-11-01,01-Vendor
BYD,-40950.0,2019-10-01,01-Vendor
BYD,-39600.57,2020-04-01,01-Vendor
BYD,-30599.02,2020-05-01,01-Vendor
BYD,-30599.02,2020-06-01,01-Vendor
BYD,-28325.7,2020-01-01,01-Vendor
BYD,-19800.29,2020-03-01,01-Vendor
BYD,-19140.0,2020-09-01,01-Vendor
BYD,-15225.544500000004,2021-02-01,02-RBEI
BYD,-15094.5185,2021-03-01,02-RBEI
BYD,-14994.108000000007,2021-08-01,02-RBEI
BYD,-14506.211500000003,2021-01-01,02-RBEI
BYD,-12776.161999999998,2021-04-01,02-RBEI
BYD,-12669.737500000003,2021-09-01,02-RBEI
BYD,-12488.367000000002,2021-06-01,02-RBEI
BYD,-10997.956999999999,2021-05-01,02-RBEI
BYD,-10209.5375,2021-07-01,02-RBEI
BYD,-9000.0,2019-08-01,01-Vendor
BYD,-7152.96,2020-02-01,01-Vendor
BYD,-6923.0,2020-07-01,01-Vendor
BYD,-6903.58,2020-06-01,01-Vendor
BYD,-6783.4,2020-04-01,01-Vendor
BYD,-6548.37,2020-05-01,01-Vendor
BYD,-5423.0,2020-08-01,01-Vendor
BYD,-5364.72,2021-03-01,01-Vendor
BYD,-5329.2,2020-09-01,01-Vendor
BYD,-4816.96,2020-03-01,01-Vendor
BYD,-2985.4,2021-03-01,01-Vendor
BYD,155000.0,2022-04-30,03-Revenue
BYD,465000.0,2019-10-30,03-Revenue
BYD,465000.0,2020-11-30,03-Revenue
BYD,465000.0,2021-11-30,03-Revenue
DFM,-61762.5,2020-11-01,01-Vendor
DFM,-59062.0,2020-12-01,01-Vendor
DFM,-55800.0,2020-09-01,01-Vendor
DFM,-45900.0,2020-05-01,01-Vendor
DFM,-44437.5,2020-10-01,01-Vendor
DFM,-43425.0,2020-06-01,01-Vendor
DFM,-42525.0,2020-12-01,01-Vendor
DFM,-40680.0,2020-06-01,01-Vendor
DFM,-40110.0,2020-11-01,01-Vendor
DFM,-35437.5,2020-08-01,01-Vendor
DFM,-34200.0,2020-07-01,01-Vendor
DFM,-32625.0,2021-01-01,01-Vendor
DFM,-29925.0,2021-02-01,01-Vendor
DFM,-23404.84,2020-12-01,01-Vendor
DFM,-23400.0,2020-07-01,01-Vendor
DFM,-21487.5,2020-11-01,01-Vendor
DFM,-20137.5,2021-02-01,01-Vendor
DFM,-16818.05,2020-10-01,01-Vendor
DFM,-15412.5,2020-08-01,01-Vendor
DFM,-15300.0,2020-07-01,01-Vendor
DFM,-14100.0,2020-08-01,01-Vendor
DFM,-11587.5,2021-01-01,01-Vendor
DFM,-10397.84,2020-11-01,01-Vendor
DFM,-8520.3,2020-08-01,01-Vendor
DFM,-8100.0,2020-09-01,01-Vendor
DFM,-5838.0,2020-06-01,01-Vendor
DFM,-5463.31,2021-01-01,01-Vendor
DFM,-3775.75,2020-11-01,01-Vendor
DFM,-3255.0,2020-05-01,01-Vendor
DFM,-1687.5,2020-09-01,01-Vendor
DFM,-1295.0,2020-07-01,01-Vendor
DFM,-0.0,2020-10-01,01-Vendor
DFM,120000.00000000001,2020-12-31,03-Revenue
DFM,360000.00000000006,2020-08-15,03-Revenue
DFM,720000.0000000001,2020-09-30,03-Revenue
Digital,-7116.0,2021-03-01,01-Vendor
FE-6-A3,-86500.0,2021-09-01,01-Vendor
FE-6-A3,-47565.0,2021-08-01,01-Vendor
FE-6-A3,-42525.0,2021-07-01,01-Vendor
FE-6-A3,-42105.0,2021-07-01,01-Vendor
FE-6-A3,-39585.0,2021-09-01,01-Vendor
FE-6-A3,-38587.5,2021-06-01,01-Vendor
FE-6-A3,-34335.0,2021-05-01,01-Vendor
FE-6-A3,-34335.0,2021-06-01,01-Vendor
FE-6-A3,-29988.216000000015,2021-08-01,02-RBEI
FE-6-A3,-25339.475000000006,2021-09-01,02-RBEI
FE-6-A3,-20419.075,2021-07-01,02-RBEI
FE-6-A3,-19800.0,2021-05-01,01-Vendor
FE-6-A3,-15225.544500000004,2021-02-01,02-RBEI
FE-6-A3,-15094.5185,2021-03-01,02-RBEI
FE-6-A3,-14937.0915,2021-10-01,02-RBEI
FE-6-A3,-14936.0915,2021-11-01,02-RBEI
FE-6-A3,-14935.0915,2021-12-01,02-RBEI
FE-6-A3,-14625.0,2021-07-01,01-Vendor
FE-6-A3,-14506.211500000003,2021-01-01,02-RBEI
FE-6-A3,-13837.0,2021-07-01,01-Vendor
FE-6-A3,-13719.96,2021-06-01,01-Vendor
FE-6-A3,-12937.5,2021-06-01,01-Vendor
FE-6-A3,-12776.161999999998,2021-04-01,02-RBEI
FE-6-A3,-12488.367000000002,2021-06-01,02-RBEI
FE-6-A3,-11925.0,2021-09-01,01-Vendor
FE-6-A3,-10997.956999999999,2021-05-01,02-RBEI
FE-6-A3,-9900.0,2021-08-01,01-Vendor
FE-6-A3,-9000.0,2021-05-01,01-Vendor
FE-6-A3,-7200.0,2021-09-01,01-Vendor
FE-6-A3,-6750.0,2021-06-01,01-Vendor
FE-6-A3,-4612.5,2021-08-01,01-Vendor
FE-6-A3,-4378.0,2021-07-01,01-Vendor
FE-6-A3,-3360.0,2021-04-01,01-Vendor
FE-6-A3,-2350.0,2021-05-01,01-Vendor
FE-6-A3,-2350.0,2021-06-01,01-Vendor
FE-6-A3,-1912.5,2021-06-01,01-Vendor
FE-6-A3,-1200.0,2021-05-01,01-Vendor
FE-6-A3,-1200.0,2021-06-01,01-Vendor
FE-6-A3,-1180.0,2021-08-01,01-Vendor
FE-6-A3,-1000.0,2021-09-01,01-Vendor
FE-6-A3,-600.0,2021-05-01,01-Vendor
FE-6-A3,-265.1,2021-09-01,01-Vendor
