project,revenue_total,expense_total,profit
AE Testing,0.0,141298.5,-141298.5
AUDI_PPE&CADA&CAPA,3725000.0,6974.0,3718026.0
BJEV,1475564.0,800012.0,675552.0
BYD,620000.0,486832.645,133167.35499999998
DFM,1200000.0000000002,775870.09,424129.91000000027
Digital,0.0,7116.0,-7116.0
FE-6-A3,690000.0000000001,471915.91000000003,218084.09000000008
FE3AH,999998.0000000001,1873515.1149999998,-873517.1149999996
FE5AB/6AB,1295332.8,4004594.370900001,-2709261.5709000006
FE5AB/6AB_3rd Party_1,80000.0,0.0,80000.0
FE5AB/6AB_3rd Party_2,85000.0,0.0,85000.0
FE5AB/6AB_Extension,130000.0,0.0,130000.0
GAC,1680000.0,38776.81,1641223.19
GAC_Complex Driver,1664000.0,0.0,1664000.0
GE12B,950000.0052,923637.095,26362.910200000042
GE13,1619099.968,5715470.788400001,-4096370.8204000005
HMI,0.0,373767.54,-373767.54
RBJAC,2046000.0,827700.0,1218300.0
RBJAC_commercial,1700000.0,395000.0,1305000.0
UAES,128790.0,0.0,128790.0
V&V Testing,0.0,46460.0,-46460.0
VF11-A2,810000.0,0.0,810000.0
