project,amount,invoiceDate,type
GE13,719599.974,2019-03-30,03-Revenue
GE13,719599.974,2019-08-30,03-Revenue
GE13,539699.954,2019-11-30,03-Revenue
GE13,539699.954,2020-02-28,03-Revenue
GE13,719599.974,2020-05-31,03-Revenue
GE13,359800.04000000004,2020-11-30,03-Revenue
GE12B,380000.0042,2019-07-04,03-Revenue
GE12B,475000.00260000007,2019-08-30,03-Revenue
GE12B,94999.99840000001,2020-02-28,03-Revenue
FE5AB/6AB,431777.60000000003,2020-01-30,03-Revenue
FE5AB/6AB,431777.60000000003,2020-03-30,03-Revenue
FE5AB/6AB,431777.60000000003,2020-06-30,03-Revenue
FE5AB/6AB,647666.4,2020-10-31,03-Revenue
FE5AB/6AB,215888.80000000002,2020-11-04,03-Revenue
FE5AB/6AB_Extension,130000.0,2020-08-30,03-Revenue
FE5AB/6AB_3rd Party_1,80000.0,2020-08-07,03-Revenue
FE5AB/6AB_3rd Party_2,85000.0,2020-09-30,03-Revenue
UAES,128790.0,2019-11-30,03-Revenue
BYD,465000.0,2019-10-30,03-Revenue
BYD,465000.0,2020-11-30,03-Revenue
BYD,465000.0,2021-11-30,03-Revenue
BYD,155000.0,2022-04-30,03-Revenue
GAC,672000.0,2019-11-30,03-Revenue
GAC,336000.0,2020-11-30,03-Revenue
GAC,503999.99999999994,2021-03-30,03-Revenue
GAC,168000.0,2021-09-30,03-Revenue
DFM,360000.00000000006,2020-08-15,03-Revenue
DFM,720000.0000000001,2020-09-30,03-Revenue
DFM,120000.00000000001,2020-12-31,03-Revenue
FE3AH,399999.20000000007,2020-07-30,03-Revenue
FE3AH,499999.0,2020-09-30,03-Revenue
FE3AH,99999.80000000002,2020-11-04,03-Revenue
RBJAC,613800.0,2020-09-30,03-Revenue
RBJAC,1023000.0,2020-11-30,03-Revenue
RBJAC,409200.00000000006,2021-04-30,03-Revenue
BJEV,221334.59999999998,2020-12-15,03-Revenue
BJEV,1106673.0,2021-05-15,03-Revenue
BJEV,147556.40000000002,2021-09-15,03-Revenue
GAC_Complex Driver,416000.00000000006,2021-03-01,03-Revenue
GAC_Complex Driver,1248000.0,2021-11-30,03-Revenue
GAC_Complex Driver,416000.00000000006,2022-05-01,03-Revenue
RBJAC_commercial,340000.0,2021-04-01,03-Revenue
RBJAC_commercial,850000.0,2021-06-30,03-Revenue
RBJAC_commercial,510000.0,2021-06-30,03-Revenue
FE-6-A3,460000.00000000006,2022-04-30,03-Revenue
FE-6-A3,230000.00000000003,2022-10-30,03-Revenue
AUDI_PPE&CADA&CAPA,3725000.0,2021-11-30,03-Revenue
AUDI_PPE&CADA&CAPA,3725000.0,2021-12-30,03-Revenue
VF11-A2,324000.0,2022-03-31,03-Revenue
VF11-A2,405000.0,2022-09-30,03-Revenue
VF11-A2,81000.0,2023-03-31,03-Revenue
GE13,-32625,2018-11-01,02-RBEI
GE13,-17500,2018-11-01,02-RBEI
GE13,-15750,2018-11-01,02-RBEI
GE12B,-30150,2018-12-01,02-RBEI
GE12B,-10125,2018-12-01,02-RBEI
GE13,-11925,2018-12-01,02-RBEI
GE12B,-14400,2018-12-01,02-RBEI
GE13,-32625,2018-12-01,02-RBEI
GE13,-17500,2018-12-01,02-RBEI
GE13,-15750,2018-12-01,02-RBEI
GE13,-16875,2018-12-01,02-RBEI
GE13,-16650,2018-12-01,02-RBEI
GE12B,-84600,2019-01-01,02-RBEI
GE13,-23287.5,2019-01-01,02-RBEI
GE13,-15637.5,2019-01-01,02-RBEI
GE12B,-34537.5,2019-01-01,02-RBEI
GE13,-51300,2019-01-01,02-RBEI
GE13,-34560,2019-01-01,02-RBEI
GE13,-48375,2019-01-01,02-RBEI
GE13,-53550,2019-01-01,02-RBEI
