project,billDate,expense,category,partner
GE13,2018-11-01,32625,OutsourcingFee,Foryou
GE13,2018-11-01,17500,OutsourcingFee,Foryou
GE13,2018-11-01,15750,OutsourcingFee,Cantech
GE12B,2018-12-01,30150,Expense,Foryou
GE12B,2018-12-01,10125,Expense,Foryou
GE13,2018-12-01,11925,Expense,Foryou
GE12B,2018-12-01,14400,Expense,Foryou
GE13,2018-12-01,32625,OutsourcingFee,Foryou
GE13,2018-12-01,17500,OutsourcingFee,Foryou
GE13,2018-12-01,15750,OutsourcingFee,Cantech
GE13,2018-12-01,16875,Expense,Foryou
GE13,2018-12-01,16650,Expense,Foryou
GE12B,2019-01-01,84600,Expense,Foryou
GE13,2019-01-01,23287.5,Expense,Foryou
GE13,2019-01-01,15637.5,Expense,Foryou
GE12B,2019-01-01,34537.5,OutsourcingFee,Foryou
GE13,2019-01-01,51300,OutsourcingFee,Foryou
GE13,2019-01-01,34560,OutsourcingFee,Foryou
GE13,2019-01-01,48375,OutsourcingFee,Foryou
GE13,2019-01-01,53550,OutsourcingFee,Cantech
GE12B,2019-02-01,111600,Expense,Foryou
GE13,2019-02-01,10500,Expense,Foryou
GE12B,2019-02-01,33986.5,Expense,Foryou
GE13,2019-02-01,4922,Expense,Foryou
GE12B,2019-02-01,32400,OutsourcingFee,Foryou
GE13,2019-02-01,3600,OutsourcingFee,Foryou
GE12B,2019-02-01,28800,OutsourcingFee,Foryou
GE12B,2019-02-01,21600,OutsourcingFee,Foryou
GE12B,2019-02-01,23175,OutsourcingFee,Foryou
GE13,2019-02-01,28125,OutsourcingFee,Cantech
GE13,2019-03-01,17227.22,Expense,Foryou
GE12B,2019-03-01,17883,Expense,Foryou
GE13,2019-03-01,17883,Expense,Foryou
GE12B,2019-03-01,21850,Expense,Foryou
GE13,2019-03-01,21850,Expense,Foryou
GE12B,2019-03-01,10784,Expense,Foryou
GE13,2019-03-01,44550,OutsourcingFee,Foryou
GE13,2019-03-01,5175,OutsourcingFee,Foryou
GE13,2019-03-01,54450,OutsourcingFee,Foryou
GE13,2019-03-01,31680,OutsourcingFee,Foryou
GE12B,2019-03-01,36000,OutsourcingFee,Foryou
GE13,2019-03-01,42075,OutsourcingFee,Cantech
GE13,2019-03-01,42075,OutsourcingFee,Foryou
GE12B,2019-04-01,20887.1,Expense,Foryou
GE13,2019-04-01,20887.1,Expense,Foryou
GE13,2019-04-01,6246.5,Expense,Foryou
GE13,2019-04-01,40950,OutsourcingFee,Foryou
GE13,2019-04-01,40500,OutsourcingFee,Foryou
GE13,2019-04-01,37800,OutsourcingFee,Foryou
GE13,2019-04-01,37800,OutsourcingFee,Foryou
GE12B,2019-04-01,29340,OutsourcingFee,Foryou
GE13,2019-04-01,33750,OutsourcingFee,Cantech
GE13,2019-04-01,33750,OutsourcingFee,Foryou
GE12B,2019-05-01,3028.75,Expense,Foryou
GE12B,2019-05-01,21850,Expense,Foryou
GE13,2019-05-01,21850,Expense,Foryou
GE13,2019-05-01,9196.5,Expense,Foryou
GE13,2019-05-01,27562.5,OutsourcingFee,Foryou
